insert_time1 insert_time2 erase_time1 erase_time2 find_time1 find_time1 Max_depth1 Max_depth2 
0.0004167 0.0003398 0.0003845 0.0003845 0.0001325 0.0001404 25 24 
0.0004369 0.0003396 0.0004015 0.0004015 0.0001355 0.0001333 28 25 
0.0003428 0.0004089 0.0003569 0.0003569 0.0001269 0.0001299 22 25 
0.0004818 0.0005856 0.0003511 0.0003511 0.0001743 0.0001724 30 27 
0.0004905 0.0005436 0.0004918 0.0004918 0.0001829 0.000193 27 25 
0.0003778 0.0004068 0.0003603 0.0003603 0.0001403 0.0001314 30 27 
0.0003891 0.0005359 0.0004578 0.0004578 0.0001804 0.0001708 27 28 
0.0003954 0.0003928 0.0003352 0.0003352 0.0001329 0.0001357 23 26 
0.0005652 0.0005864 0.0003479 0.0003479 0.0001565 0.0001321 24 23 
0.0003897 0.0004086 0.0003296 0.0003296 0.0001336 0.0001416 25 25 
0.0005699 0.0004989 0.0004689 0.0004689 0.0001743 0.0001722 24 24 
0.0004046 0.0003378 0.0004162 0.0004162 0.0001359 0.0001662 25 27 
0.000411 0.0004859 0.000509 0.000509 0.0001767 0.0001647 27 29 
0.0004018 0.0003437 0.0006398 0.0006398 0.0002175 0.0001861 25 27 
0.0005161 0.0005278 0.0004724 0.0004724 0.0001698 0.0001693 24 24 
0.0004818 0.0005593 0.0005015 0.0005015 0.00017 0.0001602 26 23 
0.0003188 0.0003852 0.0003351 0.0003351 0.0001334 0.000134 21 23 
0.0003687 0.0004017 0.0003531 0.0003531 0.0001317 0.0001342 24 24 
0.0005595 0.0004011 0.0003519 0.0003519 0.0001849 0.0001697 25 27 
0.0003944 0.0003933 0.000347 0.000347 0.0001367 0.0001368 22 28 
0.0003922 0.0004384 0.0004598 0.0004598 0.0001535 0.0001667 23 29 
0.0005611 0.0005562 0.0004657 0.0004657 0.0001424 0.0001394 25 25 
0.000397 0.0003498 0.0003322 0.0003322 0.0001507 0.0001278 28 26 
0.0004862 0.0003514 0.0003911 0.0003911 0.0001389 0.000138 24 29 
4096 elements ------ ------ ----- ------ ------- ------- 
0.0005289 0.0005342 0.0005959 0.0005959 0.0001383 0.0001422 26 30 
0.0005181 0.0005324 0.0006073 0.0006073 0.0001792 0.0001665 26 26 
